,Type,Well-behavedness,Formula,System,Translation,Hypothesis,CorrectAnswer
0,RG,WB,"∀ x ( Large ( a ) ∨ Tet ( x ) ) ∧ ∀ x ( FrontOf ( b , x ) → Student ( x ) )",Baseline,"For all x, 𝗔 is large or x is a tetrahedron and for all x, if 𝗕 is in front of x, then x is a student.",𝗔 is large and everything is a tetrahedron and 𝗖 is a student if 𝗕 is in front of it.,No
1,RG,WB,¬ ( Small ( a ) ∨ Tet ( b ) ) → ∀ x Cube ( x ),Baseline,"If it is not the case that 𝗔 is small or 𝗕 is a tetrahedron, then for all x, x is a cube.","If 𝗔 is not small and 𝗕 not a tetrahedron, then 𝗖 is a cube.",Yes
2,RG,WB,"∃ x ( ( Larger ( x , a ) ∧ Cube ( b ) ) ∨ LeftOf ( c , c ) )",Baseline,There is an element x such that x is larger than 𝗔 and 𝗕 is a cube or 𝗖 is to the left of 𝗖.,Something is larger than 𝗔.,No
3,RG,NWB,"∀ x ( ∃ x Even ( a ) → ∀ y BackOf ( x , x ) )",Baseline,"For all x, if there is an element x such that 𝗔 is even, then for all y, x is in back of x.",𝗔 is in back of itself if it is even.,Yes
4,RG,WB,"∃ x ( ¬ RightOf ( a , x ) → ( Prime ( b ) ∧ Pet ( x ) ) )",Baseline,"There is an element x such that if it is not the case that 𝗔 is to the right of x, then 𝗕 is a prime and x is a pet.",Something is a pet if 𝗔 is not to its right.,Yes
5,RG,NWB,"( ¬ Adjoins ( a , b ) ∧ ¬ Small ( a ) ) ∧ ∃ x ∀ y Medium ( y )",Baseline,"It is not the case that 𝗔 is adjacent to 𝗕 and it is not the case that 𝗔 is small and there is an element x such that for all y, y is medium.",𝗔 is neither small nor adjacent to 𝗕 and not everything is medium.,No
6,RG,NWB,( ∀ x Medium ( a ) ∧ ¬ Tet ( a ) ) ∨ ( ∃ x Student ( x ) → ∃ y Dodec ( b ) ),Baseline,"For all x, 𝗔 is medium and it is not the case that 𝗔 is a tetrahedron or if there is an element x such that x is a student, then there is an element y such that 𝗕 is a dodecahedron.",𝗔 is not a medium tetrahedron or nothing is a student or 𝗕 is a dodecahedron.,Yes
7,RG,NWB,"( ¬ BackOf ( a , b ) → ∀ x Larger ( x , b ) ) → ∃ y ( FrontOf ( y , y ) ∨ Student ( y ) )",Ranta,"If if 𝗔 is not in back of 𝗕, then for all x, x is larger than 𝗕, then there is an element y such that y is in front of itself or y is a student.","If 𝗔 is not in back of 𝗕, then everything is larger than 𝗕.",No
8,RG,NWB,"( Large ( a ) → ∀ x SameCol ( a , a ) ) → Large ( a )",Ranta,"If if 𝗔 is large, then for all x, 𝗔 is in the same column as itself, then 𝗔 is large.",𝗔 is large if it is in the same column as itself.,Yes
9,RG,NWB,¬ ¬ Small ( a ) ∨ ( ¬ Student ( b ) → ¬ Student ( a ) ),Ranta,"At least one of these holds : \n\t• it is not the case that 𝗔 is not small \n\t• if 𝗕 is not a student, then 𝗔 is not a student.","If 𝗔 is not small, then 𝗕 is a student or 𝗔 is not a student.",Yes
10,RG,NWB,"∃ x ¬ ¬ LeftOf ( x , a )",Ranta,There is an element x such that it is not the case that x is not to the left of 𝗔.,Something is not to the left of 𝗔.,No
11,RG,WB,"∃ x ( ( Prime ( x ) ∨ Person ( a ) ) ∧ ( SameRow ( x , b ) ∧ Student ( x ) ) )",Ranta,"There is an element x such that all these hold : \n\t• x is a prime or 𝗔 is a person, x is in the same row as 𝗕 \n\t• x is a student.",Something is a prime.,No
12,RG,NWB,"¬ ( ¬ Dodec ( a ) ∨ ∃ x BackOf ( x , x ) )",Ranta,It is not the case that 𝗔 is not a dodecahedron or there is an element x such that x is in back of itself.,Nothing is in back of itself.,Yes
13,RG,NWB,"Medium ( a ) → ∀ x ¬ SameSize ( b , a )",Ranta,"If 𝗔 is medium, then for all x, 𝗕 is not of the same size as 𝗔.",𝗔 is not of the same size as 𝗕.,No
14,RG,WB,"∀ x ( Large ( x ) ∧ FrontOf ( a , b ) )",LoLa,"For all x, x is large and 𝗔 is in front of 𝗕.",𝗔 is large and in front of 𝗕.,Yes
15,RG,NWB,∃ x ¬ ( Prime ( a ) ∨ Cube ( a ) ),LoLa,𝗔 is not a cube and 𝗔 is not a prime.,𝗔 is a cube.,No
