WB;( Cube ( p ) ) % Cube ( p );p is a cube if and only if p is a cube
WB;( Cube ( p ) ) % ~ ( Cube ( p ) );p is a cube if and only if p is not a cube
NWB;( Cube ( p ) ) % ( Cube ( q ) ) % Cube ( q );p is a cube if and only if q is a cube if and only if q is a cube
NWB;( Cube ( p ) ) % ( Cube ( q ) ) % ~ ( Cube ( q ) );p is a cube if and only if q is a cube if and only if q is not a cube
WB;( ( Cube ( p ) ) | ( Cube ( q ) ) ) % ( Cube ( p ) ) | ( Cube ( r ) );p is a cube or q is a cube if and only if p is a cube or r is a cube
WB;( Cube ( s ) ) | ( ( ( Cube ( p ) ) | ( Cube ( q ) ) ) % ( Cube ( p ) ) | ( Cube ( r ) ) );at least one of these holds : \item s is a cube \item p is a cube or q is a cube if and only if p is a cube or r is a cube
WB;( Cube ( p ) ) | ( ( Cube ( p ) ) & ( Cube ( q ) ) );at least one of these holds : \item p is a cube \item p is a cube and q is a cube
WB;( Cube ( p ) ) % ( Cube ( p ) ) & ( Cube ( q ) );p is a cube if and only if p is a cube and q is a cube
WB;( Cube ( p ) ) % ( Cube ( p ) ) | ( Cube ( q ) );p is a cube if and only if p is a cube or q is a cube
WB;( Cube ( p ) ) & ( ( Cube ( p ) ) % Cube ( q ) );all these hold : \item p is a cube \item p is a cube if and only if q is a cube
WB;( Cube ( p ) ) | ( ( Cube ( p ) ) % Cube ( q ) );at least one of these holds : \item p is a cube \item p is a cube if and only if q is a cube
WB;( ( Cube ( p ) ) $ Cube ( q ) ) & ( ( Cube ( q ) ) $ Cube ( p ) );all these hold : \item if p is a cube , then q is a cube \item if q is a cube , then p is a cube
WB;( ( ( Cube ( p ) ) $ Cube ( q ) ) & ( ( Cube ( q ) ) $ Cube ( r ) ) ) & ( ( Cube ( r ) ) $ Cube ( p ) );all these hold : \item if p is a cube , then q is a cube , if q is a cube , then r is a cube \item if r is a cube , then p is a cube
WB;( ( ( ( Cube ( p ) ) $ Cube ( q ) ) & ( ( Cube ( q ) ) $ Cube ( r ) ) ) & ( ( Cube ( r ) ) $ Cube ( s ) ) ) & ( ( Cube ( s ) ) $ Cube ( p ) );all these hold : \item if p is a cube , then q is a cube , if q is a cube , then r is a cube , if r is a cube , then s is a cube \item if s is a cube , then p is a cube
WB;( ( Cube ( q ) ) | ( Cube ( p ) ) ) $ ( Cube ( q ) ) & ( Cube ( p ) );if q is a cube or p is a cube , then q is a cube and p is a cube
WB;( ( Cube ( p ) ) | ( Cube ( q ) ) ) & ( ~ ( ( Cube ( p ) ) & ( Cube ( q ) ) ) );all these hold : \item p is a cube or q is a cube \item it is not the case that p is a cube and q is a cube
WB;( ( Cube ( p ) ) % Cube ( q ) ) & ( ( Cube ( p ) ) $ Cube ( q ) );all these hold : \item p is a cube if and only if q is a cube \item if p is a cube , then q is a cube
WB;( ( ( Cube ( p ) ) % Cube ( q ) ) & ( ( Cube ( q ) ) % Cube ( r ) ) ) & ( ( Cube ( r ) ) % Cube ( p ) );all these hold : \item p is a cube if and only if q is a cube , q is a cube if and only if r is a cube \item r is a cube if and only if p is a cube
NWB;( Cube ( p ) ) % ( Cube ( p ) ) % Cube ( q );p is a cube if and only if p is a cube if and only if q is a cube
NWB;( ( Cube ( p ) ) % Cube ( q ) ) % Cube ( q );p is a cube if and only if q is a cube if and only if q is a cube
NWB;( Cube ( p ) ) % ( ~ ( Cube ( p ) ) ) % Cube ( q );p is a cube if and only if p is not a cube if and only if q is a cube
NWB;( ( Cube ( p ) ) % Cube ( q ) ) % ~ ( Cube ( q ) );p is a cube if and only if q is a cube if and only if q is not a cube
WB;( ( Cube ( p ) ) | ( Cube ( q ) ) ) & ( Cube ( p ) );all these hold : \item p is a cube or q is a cube \item p is a cube
WB;( Cube ( p ) ) $ ( Cube ( p ) ) & ( Cube ( q ) );if p is a cube , then p is a cube and q is a cube
WB;( Cube ( p ) ) | ( ( ~ ( Cube ( p ) ) ) & ( Cube ( q ) ) );at least one of these holds : \item p is a cube \item p is not a cube and q is a cube
WB;( Cube ( p ) ) & ( ( Cube ( p ) ) $ Cube ( q ) );all these hold : \item p is a cube \item if p is a cube , then q is a cube
WB;( ~ ( Cube ( p ) ) ) & ( ( Cube ( p ) ) | ( Cube ( q ) ) );all these hold : \item p is not a cube \item p is a cube or q is a cube
WB;( Cube ( p ) ) | ( ( ~ ( Cube ( p ) ) ) % Cube ( q ) );at least one of these holds : \item p is a cube \item p is not a cube if and only if q is a cube
WB;( Cube ( p ) ) $ ( Cube ( p ) ) % Cube ( q );if p is a cube , then p is a cube if and only if q is a cube
WB;( ( Cube ( q ) ) | ( Cube ( p ) ) ) $ ( Cube ( p ) ) % Cube ( q );if q is a cube or p is a cube , then p is a cube if and only if q is a cube
WB;( ( Cube ( p ) ) | ( Cube ( q ) ) ) | ( ( Cube ( p ) ) % Cube ( q ) );at least one of these holds : \item p is a cube , q is a cube \item p is a cube if and only if q is a cube
WB;~ ( ( ( Cube ( p ) ) % Cube ( q ) ) | ( ( Cube ( q ) ) & ( Cube ( p ) ) ) );it is not the case that at least one of these holds : \item p is a cube if and only if q is a cube \item q is a cube and p is a cube
