( ( Small ( a ) ) | ( Dodec ( d ) ) ) & ( ( Small ( a ) ) | ( Small ( d ) ) );all these hold : \item a is small or d is a dodecahedron \item a or d is small;WB;16

( RightOf ( c , d ) ) $ ( RightOf ( b , c ) ) & ( LeftOf ( b , e ) );if c is to the right of d , then b is to the right of c and to the left of e;WB;22

SameRow ( b , d );b is in the same row as d;WB;8

( ( ( ~ ( FrontOf ( d , c ) ) ) & ( ~ ( BackOf ( b , d ) ) ) ) & ( ~ ( FrontOf ( c , c ) ) ) ) & ( ~ ( BackOf ( b , c ) ) );d is not in front of c , b is not in back of d , c is not in front of itself and b is not in back of c;WB;29

BackOf ( d , a );d is in back of a;WB;6

( ( ( ~ ( Large ( a ) ) ) & ( ~ ( Large ( e ) ) ) ) & ( Larger ( e , c ) ) ) & ( Larger ( a , c ) );a is not large , e is not large , e is larger than c and a is larger than c;WB;19

( Tet ( a ) ) $ ( Tet ( a ) ) & ( FrontOf ( a , b ) );if a is a tetrahedron , then a is a tetrahedron and a is in front of b;WB;17

( ( Cube ( e ) ) | ( Large ( b ) ) ) | ( ( Cube ( e ) ) | ( Large ( d ) ) );e is a cube , b is large , e is a cube or d is large;WB;15

( Small ( a ) ) | ( ( Large ( c ) ) & ( Large ( d ) ) );a is small or c and d are large;WB;9

( ( Cube ( a ) ) | ( Cube ( c ) ) ) | ( Cube ( e ) );a is a cube , c is a cube or e is a cube;WB;13

( ( ~ ( Dodec ( b ) ) ) | ( FrontOf ( b , d ) ) ) | ( ~ ( BackOf ( b , d ) ) );b is not a dodecahedron , b is in front of d or b is not in back of d;WB;19

( Large ( a ) ) % Large ( e );a is large precisely when e is large;WB;8

( Cube ( a ) ) | ( ( Cube ( c ) ) | ( Cube ( e ) ) );a is a cube , c is a cube or e is a cube;WB;13

( SameRow ( f , a ) ) | ( BackOf ( f , a ) );f is in the same row as a or in back of a;WB;13

( Tet ( b ) ) $ Small ( b );if b is a tetrahedron , then b is small;WB;9

SameRow ( d , b );d is in the same row as b;WB;8

( ( Larger ( a , c ) ) & ( Larger ( e , c ) ) ) & ( ( ~ ( Large ( a ) ) ) & ( ~ ( Large ( e ) ) ) );a is larger than c , e is larger than c , a is not large and e is not large;WB;19

( ( Tet ( c ) ) | ( Cube ( b ) ) ) & ( ( Cube ( b ) ) | ( Tet ( c ) ) );all these hold : \item c is a tetrahedron or b is a cube \item b is a cube or c is a tetrahedron;WB;21

( ( Cube ( d ) ) | ( ( Cube ( e ) ) | ( Cube ( f ) ) ) ) $ ~ ( Medium ( c ) );if d is a cube , e is a cube or f is a cube , then c is not medium;WB;19

( Cube ( d ) ) & ( ( Cube ( c ) ) & ( ( ( ~ ( Small ( d ) ) ) | ( ~ ( Cube ( d ) ) ) ) & ( ( ~ ( Small ( c ) ) ) | ( ~ ( Cube ( c ) ) ) ) ) );all these hold : \item d is a cube , c is a cube , d is not small or d is not a cube \item c is not small or c is not a cube;WB;31

( ( ~ ( BackOf ( b , d ) ) ) | ( FrontOf ( b , d ) ) ) | ( ~ ( Dodec ( b ) ) );b is not in back of d , b is in front of d or b is not a dodecahedron;WB;19

