WB;( ( Large ( f ) ) $ Cube ( f ) ) | ( Dodec ( f ) );at least one of these holds : \item if f is large , then f is a cube \item f is a dodecahedron
WB;~ ( ( ( FrontOf ( d , c ) ) | ( FrontOf ( d , b ) ) ) | ( FrontOf ( c , b ) ) );it is not the case that d is in front of c , d is in front of b or c is in front of b
WB;SameRow ( b , d );b is in the same row as d
WB;( ( ( Larger ( d , b ) ) & ( Larger ( e , b ) ) ) & ( FrontOf ( b , d ) ) ) & ( FrontOf ( b , e ) );d is larger than b , e is larger than b , b is in front of d and b is in front of e
WB;~ ( ( ( RightOf ( e , c ) ) & ( LeftOf ( e , b ) ) ) | ( ( LeftOf ( a , b ) ) & ( RightOf ( a , c ) ) ) );it is not the case that e is to the right of c and to the left of b or a is to the left of b and to the right of c
WB;( Tet ( a ) ) & ( ( Tet ( e ) ) | ( Tet ( f ) ) );all these hold : \item a is a tetrahedron \item e is a tetrahedron or f is a tetrahedron
NWB;( RightOf ( f , a ) ) & ( LeftOf ( f , b ) );f is to the right of a and to the left of b
WB;( ( Small ( c ) ) & ( Dodec ( d ) ) ) $ ( Small ( c ) ) & ( ( Dodec ( d ) ) & ( ~ ( ( Large ( d ) ) | ( Small ( d ) ) ) ) );if c is small and d is a dodecahedron , then c is small , d is a dodecahedron and it is not the case that d is large or small
WB;( ~ ( ( Tet ( b ) ) | ( Tet ( d ) ) ) ) % ( LeftOf ( d , b ) ) | ( LeftOf ( b , d ) );it is not the case that b is a tetrahedron or d is a tetrahedron if and only if d is to the left of b or b is to the left of d
NWB;( ~ ( Cube ( b ) ) ) % Tet ( c );b is not a cube if and only if c is a tetrahedron
WB;( Tet ( a ) ) & ( ( SameShape ( e , a ) ) | ( SameShape ( f , a ) ) );a is a tetrahedron and e or f is of the same shape as a
