PConj CAnd (PAtom (AKind Prime (IVar (VString "a")))) (PConj COr (PNeg (PAtom (AKind Dodec (IVar (VString "a"))))) (PNeg (PAtom (AKind Student (IVar (VString "a"))))));all these hold : \item a is a prime \item a is not a dodecahedron or a is not a student;18

PImpl (PImpl (PAtom (AKind Prime (IVar (VString "a")))) (PAtom (AKind Cube (IVar (VString "a"))))) (PConj CAnd (PConj COr (PAtom (AKind Prime (IVar (VString "a")))) (PAtom (AKind Dodec (IVar (VString "b"))))) (PConj CAnd (PAtom (AKind Tet (IVar (VString "a")))) (PAtom (AKind Student (IVar (VString "b"))))));if if a is a prime , then a is a cube , then all these hold : \item a is a prime or b is a dodecahedron , a is a tetrahedron \item b is a student;32

PConj COr (PConj CAnd (PConj COr (PAtom (AKind Dodec (IVar (VString "a")))) (PAtom (AKind Prime (IVar (VString "a"))))) (PAtom (AKind Cube (IVar (VString "a"))))) (PAtom (AKind Student (IVar (VString "b"))));all these hold : \item a is a dodecahedron or a is a prime \item a is a cube or b is a student;21

PConj CAnd (PConj CAnd (PConj CAnd (PAtom (AKind Student (IVar (VString "a")))) (PNeg (PAtom (AKind Prime (IVar (VString "b")))))) (PAtom (AKind Student (IVar (VString "b"))))) (PAtom (AKind Tet (IVar (VString "a"))));a is a student , b is not a prime , b is a student and a is a tetrahedron;18

PConj CAnd (PConj COr (PNeg (PAtom (AKind Student (IVar (VString "b"))))) (PAtom (AKind Dodec (IVar (VString "a"))))) (PConj COr (PNeg (PAtom (AKind Tet (IVar (VString "b"))))) (PConj COr (PAtom (AKind Student (IVar (VString "a")))) (PAtom (AKind Cube (IVar (VString "a"))))));all these hold : \item b is not a student or a is a dodecahedron \item b is not a tetrahedron , a is a student or a is a cube;27

PImpl (PImpl (PAtom (AKind Student (IVar (VString "a")))) (PNeg (PAtom (AKind Dodec (IVar (VString "a")))))) (PAtom (AKind Cube (IVar (VString "a"))));if if a is a student , then a is not a dodecahedron , then a is a cube;17

PConj CAnd (PAtom (AKind Student (IVar (VString "a")))) (PConj COr (PNeg (PAtom (AKind Tet (IVar (VString "b"))))) (PAtom (AKind Student (IVar (VString "c")))));all these hold : \item a is a student \item b is not a tetrahedron or c is a student;17

PConj CAnd (PAtom (AKind Student (IVar (VString "a")))) (PConj COr (PNeg (PAtom (AKind Cube (IVar (VString "a"))))) (PNeg (PAtom (AKind Dodec (IVar (VString "a"))))));all these hold : \item a is a student \item a is not a cube or a is not a dodecahedron;18

PConj CAnd (PAtom (AKind Student (IVar (VString "a")))) (PConj COr (PConj CAnd (PAtom (AKind Dodec (IVar (VString "b")))) (PAtom (AKind Cube (IVar (VString "a"))))) (PConj CAnd (PAtom (AKind Prime (IVar (VString "a")))) (PAtom (AKind Dodec (IVar (VString "c"))))));a is a student and at least one of these holds : \item b is a dodecahedron and a is a cube \item a is a prime and c is a dodecahedron;29

PConj COr (PNeg (PAtom (AKind Student (IVar (VString "a"))))) (PAtom (AKind Cube (IVar (VString "c"))));a is not a student or c is a cube;10

PConj CAnd (PNeg (PAtom (AKind Prime (IVar (VString "a"))))) (PConj CAnd (PNeg (PAtom (AKind Cube (IVar (VString "a"))))) (PNeg (PAtom (AKind Prime (IVar (VString "b"))))));a is not a prime , a is not a cube and b is not a prime;16

PConj CAnd (PAtom (AKind Student (IVar (VString "a")))) (PConj CAnd (PNeg (PAtom (AKind Dodec (IVar (VString "a"))))) (PNeg (PAtom (AKind Cube (IVar (VString "a"))))));a is a student , a is not a dodecahedron and a is not a cube;15

PConj CAnd (PAtom (AKind Tet (IVar (VString "a")))) (PAtom (AKind Dodec (IVar (VString "b"))));a is a tetrahedron and b is a dodecahedron;9

PConj CAnd (PAtom (AKind Dodec (IVar (VString "a")))) (PConj COr (PNeg (PAtom (AKind Tet (IVar (VString "a"))))) (PNeg (PAtom (AKind Dodec (IVar (VString "b"))))));all these hold : \item a is a dodecahedron \item a is not a tetrahedron or b is not a dodecahedron;18

PConj CAnd (PImpl (PImpl (PAtom (AKind Prime (IVar (VString "a")))) (PAtom (AKind Tet (IVar (VString "b"))))) (PAtom (AKind Dodec (IVar (VString "a"))))) (PConj COr (PNeg (PAtom (AKind Tet (IVar (VString "a"))))) (PNeg (PAtom (AKind Dodec (IVar (VString "a"))))));all these hold : \item if if a is a prime , then b is a tetrahedron , then a is a dodecahedron \item a is not a tetrahedron or a is not a dodecahedron;30

PConj COr (PNeg (PAtom (AKind Cube (IVar (VString "a"))))) (PAtom (AKind Prime (IVar (VString "a"))));a is not a cube or a is a prime;10

PConj CAnd (PAtom (AKind Tet (IVar (VString "a")))) (PAtom (AKind Dodec (IVar (VString "b"))));a is a tetrahedron and b is a dodecahedron;9

