,Unnamed: 0,Condition,Formula,Translation,Correct?,Clear?,Fluent?,Post-Edit
10,10,RG,"( ( SameCol ( a , b ) ∧ Large ( b ) ) ∨ SameCol ( b , b ) ) ∨ ∀ x ∀ x Cube ( x )","at least one of these holds : \n\t• a is in the same column as b and b is large , b is in the same column as itself \n\t• for all x , for all x , x is a cube",Yes,3,2,
11,11,RG,"∀ x ( Even ( x ) → Large ( x ) ) ∨ ¬ Adjoins ( a , b )","for all x , if x is even , then x is large or a is not adjacent to b",Yes,5,5,
12,12,RG,"∃ x ¬ ∃ x SameCol ( x , a )",there is an element x such that it is not the case that there is an element x such that x is in the same column as a,Yes,3,3,"There is an element x, there is not an element x, such that x is in the same column as a  ?"
13,13,RG,∀ x ∃ x Even ( a ) ∧ ∃ x ¬ Small ( a ),"for all x , there is an element x such that a is even and there is an element x such that a is not small",Yes,4,3,
14,14,RG,"∀ x ( Medium ( x ) → SameCol ( a , x ) )","for all x , if x is medium , then a is in the same column as x",Yes,5,4,
15,15,RG,"∀ x ∀ y ( Pet ( x ) ∨ BackOf ( a , a ) )","for all x , for all y , x is a pet or a is in back of itself",Yes,5,5,
16,16,RG,"LeftOf ( a , b ) ∧ ( ( Person ( a ) → Prime ( b ) ) → ∀ x Student ( x ) )","all these hold : \n\t• a is to the left of b \n\t• if if a is a person , then b is a prime , then for all x , x is a student",Yes,4,3,
17,17,RG,"¬ FrontOf ( a , b ) ∧ ( ∃ x Even ( a ) ∧ ( Student ( b ) ∨ Even ( c ) ) )","all these hold : \n\t• a is not in front of b , there is an element x such that a is even \n\t• b is a student or c is even",Yes,4,4,
18,18,RG,"¬ ∃ x SameSize ( x , x ) ∧ Cube ( a )",it is not the case that there is an element x such that x is of the same size as itself and a is a cube,Yes,4,4,there is not an element x such that x is of the same size as itself and a is a cube
19,19,RG,"∀ x ( ( Small ( x ) → Adjoins ( a , a ) ) ∨ ¬ SameShape ( x , x ) )","for all x , at least one of these holds : \n\t• if x is small , then a is adjacent to itself \n\t• x is not of the same shape as x",Yes,4,3,
20,20,Filler,"¬ ∃ x ( SameShape ( a , b ) → SameRow ( c , c ) )",it is not the case that there is an element x such that a is in the same shape as b and c is in the same row as itself,Yes,4,4,There is no element x such that a is in the same shape as b and c is in the same row as itself
21,21,Filler,∀ x ( Tet ( x ) ∨ Prime ( a ) ) ∨ ∃ x ( Person ( x ) → Student ( a ) ),"for all x , x is a tetrahedron or a is a prime or there is an element x such that a is a student",No,4,4,"for all x , x is a tetrahedron or a is a prime or there is an element x such that if x is a person, then a is a student"
22,22,Filler,"∃ x ∀ y Larger ( x , a ) ∧ ∀ y ¬ Pet ( b )","there is an element x such that for all y , x is larger than a and there is an element x such that for all y , b is not a pet",Yes,3,3,
23,23,Filler,"∃ x ( ( ( SameShape ( x , a ) ∧ Tet ( x ) ) → Adjoins ( x , a ) )","for all x , if x is of the same shape as a, then x is adjacent to a",No,3,4,"there is some element x such that, if x is of the same shape as a and a is a tetrahedron, then x is adjacent to a"
24,24,Filler,"∃ x Cube ( x ) ( Person ( a ) → Adjoins ( x , a ) )",there is a cube such that a is a person or x is adjacent to a,No,3,4,"There is an element x that is a cube such that if a is a person, x is adjacent to a"
