,Unnamed: 0,Condition,Formula,Translation,Correct?,Clear?,Fluent?,Post-Edit
10,10,RG,∃ x ( ∃ y Even ( a ) ∨ ∃ y Tet ( y ) ),there is an element x such that there is an element y such that a is even or there is an element y such that y is a tetrahedron,Yes,4,2,There is an element x such that there is something else so that a is even or that something is tetrahedron
11,11,RG,"∃ x ( ¬ SameRow ( a , a ) → ∀ y SameRow ( a , a ) )","there is an element x such that if a is not in the same row as a , then for all y , a is in the same row as itself",Yes,4,4,
12,12,RG,"∀ x ( Medium ( a ) → Medium ( x ) ) ∨ ∃ x ( Larger ( a , x ) ∧ Medium ( x ) )","for all x , if a is medium , then x is medium or there is an element x such that a is larger than x and x is medium",Yes,3,3,"Either for all elements x, if a is medium, then x is medium or there is an element x such that it is smaller than a and it is a medium"
13,13,RG,"¬ ( SameRow ( a , b ) ∧ Dodec ( b ) ) → ∃ x ( Person ( a ) → Even ( x ) )","if it is not the case that a is in the same row as b and b is a dodecahedron , then there is an element x such that if a is a person , then x is even",Yes,3,4,"If it is not the case that both a is in the same row as b and b is a dodecahedron, then there is an element x such that if a is a person, then x is even"
14,14,RG,"∃ x ( ∃ x Smaller ( x , x ) → ¬ Pet ( x ) )","there is an element x such that if there is an element x such that x is smaller than itself , then x is not a pet",Yes,3,2,"There is an element x such that if there is such an element for which holds that it is smaller than itself, then it is not a pet"
15,15,RG,∀ x ( Small ( a ) ∧ Prime ( x ) ) ∨ Even ( a ),"for all x , a is small and x is a prime or a is even",Yes,1,4,"for all x, it either both holds that a is small and x is a prime or it holds that a is even"
16,16,RG,"( ∃ x Student ( a ) ∧ ∃ x Person ( b ) ) → ( ( Pet ( a ) ∨ Adjoins ( a , b ) ) ∨ ¬ Cube ( a ) )","if there is an element x such that a is a student and there is an element x such that b is a person , then a is a pet , a is adjacent to b or a is not a cube",No,2,3,if there is an element x such that a is a student and there is an element x such that b is a person then either or both a is a pet or a is adjacent to b AND/OR a is not a cube
17,17,RG,"Small ( a ) ∧ ( Medium ( a ) → ( Larger ( a , a ) ∧ SameCol ( b , c ) ) )","all these hold : \n\t• a is small \n\t• if a is medium , then a is larger than itself and b is in the same column as c",Yes,4,4,"a is small and if a is a medium, then both a is larger than itself and b is in the same column as c"
18,18,RG,∃ x ( ¬ Cube ( a ) ∨ Large ( x ) ),there is an element x such that a is not a cube or x is large,Yes,5,4,There is an element x such that it is not the case that a is cube or it is the case that x is large
19,19,RG,∀ x ¬ ( Medium ( x ) ∨ Pet ( x ) ),"for all x , it is not the case that x is medium or x is a pet",Yes,4,4,
20,20,Filler,"¬ ∃ x ( SameShape ( a , b ) → SameRow ( c , c ) )",it is not the case that there is an element x such that a is in the same shape as b and c is in the same row as itself,No,3,4,"it is not the case that there is an element x such that if a is in the same shape as b, then c is in the same row as itself"
21,21,Filler,∀ x ( Tet ( x ) ∨ Prime ( a ) ) ∨ ∃ x ( Person ( x ) → Student ( a ) ),"for all x , x is a tetrahedron or a is a prime or there is an element x such that a is a student",No,2,2,"For all x, either or both x is a tetrahedron or a is a prime, or there is an element x such that if x is a person, then a is a student"
22,22,Filler,"∃ x ∀ y Larger ( x , a ) ∧ ∀ y ¬ Pet ( b )","there is an element x such that for all y , x is larger than a and there is an element x such that for all y , b is not a pet",No,2,2,"There is an element x such that for all elements y, x is larger than a and for all elements y, b is not a pet"
23,23,Filler,"∃ x ( ( ( SameShape ( x , a ) ∧ Tet ( x ) ) → Adjoins ( x , a ) )","for all x , if x is of the same shape as a, then x is adjacent to a",No,5,4,"There is an element x such that if both x is of the same shape as a and x is a tetrahedron, then x is adjacent to a"
24,24,Filler,"∃ x Cube ( x ) ( Person ( a ) → Adjoins ( x , a ) )",there is a cube such that a is a person or x is adjacent to a,No,2,3,"There is a cube x such that if a is a person, then x is adjacent to a"
