,Unnamed: 0,Condition,Formula,Translation,Correct?,Clear?,Fluent?,Post-Edit
10,10,RG,"∃ x ( ¬ Even ( x ) → ( Small ( a ) ∧ FrontOf ( b , x ) ) )","there is an element x such that if x is not even , then a is small and b is in front of x",Yes,3,2,NO
11,11,RG,"∃ x ∀ x ( Adjoins ( x , a ) ∧ Dodec ( b ) )","there is an element x such that for all x , x is adjacent to a and b is a dodecahedron",Yes,4,4,
12,12,RG,∃ x ∀ x ¬ Prime ( x ),"there is an element x such that for all x , x is not a prime",Yes,3,3,there exists an x such that all x are not a prime.
13,13,RG,"∃ x ( ∀ x SameShape ( a , a ) → ∃ x Small ( b ) )","there is an element x such that if for all x , a is of the same shape as itself , then there is an element x such that b is small",Yes,4,3,
14,14,RG,"Even ( a ) ∨ ( ∃ x Tet ( x ) ∧ ∃ y Larger ( y , y ) )",at least one of these holds : \n\t• a is even \n\t• there is an element x such that x is a tetrahedron and there is an element y such that y is larger than itself,Yes,4,2,either a is even or there is an x that is a tetrahedron and a y that is larger than itself.
15,15,RG,"∀ x ( ( SameRow ( a , x ) → Smaller ( b , x ) ) → ( LeftOf ( x , b ) ∨ Cube ( x ) ) )","for all x , if if a is in the same row as x , then b is smaller than x , then x is to the left of b or x is a cube",Yes,5,5,
16,16,RG,"( Even ( a ) → ∃ x Even ( x ) ) ∨ ( ∃ x Even ( x ) ∨ ( Cube ( b ) → RightOf ( b , b ) ) )","at least one of these holds : \n\t• if a is even , then there is an element x such that x is even , there is an element x such that x is even \n\t• if b is a cube , then b is to the right of itself",No,4,3,"at least one of these holds: if a is even, there there must be an x that is even. Or, if there exists an even x or if b is a cube then b is right of itself"
17,17,RG,"∀ x ∃ y ( SameCol ( a , y ) ∨ Even ( b ) )","for all x , there is an element y such that a is in the same column as y or b is even",Yes,5,5,
18,18,RG,"∃ x ¬ ∃ y SameCol ( a , y )",there is an element x such that it is not the case that there is an element y such that a is in the same column as y,Yes,2,1,there is an x such that all y's are not in the same column as a
19,19,RG,( ∀ x Medium ( x ) ∨ ¬ Pet ( a ) ) → ¬ Person ( a ),"if for all x , x is medium or a is not a pet , then a is not a person",Yes,5,5,
20,20,Filler,"¬ ∃ x ( SameShape ( a , b ) → SameRow ( c , c ) )",it is not the case that there is an element x such that a is in the same shape as b and c is in the same row as itself,No,3,2,"there is no element x such that if a has the same shape as b, c is in its same row."
21,21,Filler,∀ x ( Tet ( x ) ∨ Prime ( a ) ) ∨ ∃ x ( Person ( x ) → Student ( a ) ),"for all x , x is a tetrahedron or a is a prime or there is an element x such that a is a student",No,3,4,"for all x, it is the case that either x is a tet, a is a prime, or there is an x such that if x is a person, a is a student."
22,22,Filler,"∃ x ∀ y Larger ( x , a ) ∧ ∀ y ¬ Pet ( b )","there is an element x such that for all y , x is larger than a and there is an element x such that for all y , b is not a pet",No,4,3,"there exist an x such that for all y, x is larger than a and for all y, b is not a pet"
23,23,Filler,"∃ x ( ( ( SameShape ( x , a ) ∧ Tet ( x ) ) → Adjoins ( x , a ) )","for all x , if x is of the same shape as a, then x is adjacent to a",No,4,3,"there exists an element x such that if x is a tet and has the same shape as a, then x and a are adjacent"
24,24,Filler,"∃ x Cube ( x ) ( Person ( a ) → Adjoins ( x , a ) )",there is a cube such that a is a person or x is adjacent to a,No,4,4,"there is a cube x such that if a is a person, x is adjacent to a"
