,Unnamed: 0,Condition,Formula,Translation,Correct?,Clear?,Fluent?,Post-Edit
10,10,RG,∀ x ( ∃ y Cube ( a ) ∧ Small ( a ) ),"for all x , there is an element y such that a is a cube and a is small",No,3,3,
11,11,RG,"Dodec ( a ) ∧ ( ( Person ( b ) → Cube ( c ) ) → ( Medium ( a ) ∨ Adjoins ( d , d ) ) )","all these hold : \n\t• a is a dodecahedron \n\t• if if b is a person , then c is a cube , then a is medium or d is adjacent to itself",Yes,2,2,
12,12,RG,∃ x ( Cube ( x ) ∧ Prime ( a ) ) → Student ( b ),"if there is a cube x such that a is a prime , then b is a student",No,3,3,
13,13,RG,"Large ( a ) ∧ ( ( RightOf ( b , b ) ∨ Large ( b ) ) ∧ ∀ x Medium ( b ) )","all these hold : \n\t• a is large , b is to the right of itself or b is large \n\t• for all x , b is medium",Yes,5,5,
14,14,RG,"¬ ∀ x Large ( a ) → ( ( SameCol ( a , b ) ∧ Smaller ( b , b ) ) → ∀ x Pet ( a ) )","if it is not the case that for all x , a is large , then if a is in the same column as b and b is smaller than itself , then for all x , a is a pet",Yes,1,1,
15,15,RG,"∀ x ∀ x ( BackOf ( a , x ) → Dodec ( x ) )","for all x , for all x , if a is in back of x , then x is a dodecahedron",No,3,3,
16,16,RG,"∀ x ( Even ( x ) ∨ Prime ( x ) ) ∧ SameShape ( a , b )","for all x , x is even or x is a prime and a is of the same shape as b",Yes,5,5,
17,17,RG,¬ ∀ x ( Dodec ( x ) ∧ Medium ( x ) ),"it is not the case that for all x , x is a dodecahedron and x is medium",Yes,5,5,
18,18,RG,∃ x ¬ ( Medium ( a ) ∧ Student ( b ) ),there is an element x such that it is not the case that a is medium and b is a student,Yes,5,5,
19,19,RG,"∀ x ( Even ( a ) ∨ Larger ( b , c ) ) ∨ ( BackOf ( a , c ) ∧ SameSize ( c , c ) )","at least one of these holds : \n\t• for all x , a is even or b is larger than c \n\t• a is in back of c and c is of the same size as itself",Yes,4,4,
20,20,Filler,"¬ ∃ x ( SameShape ( a , b ) → SameRow ( c , c ) )",it is not the case that there is an element x such that a is in the same shape as b and c is in the same row as itself,Yes,3,3,
21,21,Filler,∀ x ( Tet ( x ) ∨ Prime ( a ) ) ∨ ∃ x ( Person ( x ) → Student ( a ) ),"for all x , x is a tetrahedron or a is a prime or there is an element x such that a is a student",Yes,3,3,
22,22,Filler,"∃ x ∀ y Larger ( x , a ) ∧ ∀ y ¬ Pet ( b )","there is an element x such that for all y , x is larger than a and there is an element x such that for all y , b is not a pet",Yes,3,3,
23,23,Filler,"∃ x ( ( ( SameShape ( x , a ) ∧ Tet ( x ) ) → Adjoins ( x , a ) )","for all x , if x is of the same shape as a, then x is adjacent to a",No,3,3,
24,24,Filler,"∃ x Cube ( x ) ( Person ( a ) → Adjoins ( x , a ) )",there is a cube such that a is a person or x is adjacent to a,No,3,2,
